article,match
btonline.ro/2019/03/04/carte-de-identitate-falsa-descoperita-la-controlul-de-frontiera,ziarulevenimentul.ro/stiri/moldova/carte-de-identitate-falsa-descoperita-la-controlul-de-frontiera--217451082.html
bzv.ro/sorina-matei-iesire-exploziva-dupa-interviul-judecatoarei-gabriela-birsan-la-antena3-doamna-stie-dar-n-a-spus-52162,antena3.ro/actualitate/sinteza-zilei-judecatorii-gabriela-si-corneliu-barsan-rup-tacerea-lovitura-nimicitoare-pentru-dna-510747.html
m.hotnews.ro/stire/23011170,stirileprotv.ro/stiri/actualitate/doua-organisme-europene-critica-noua-sectie-pentru-investigarea-infractiunilor-din-justitie.html
m.hotnews.ro/stire/23011463,stiripesurse.ro/liviu-dragnea-ii-raspunde-lui-macron-i-ii-traduce-lui-iohannis-propune-interzicerea-finan-arii-p_1331409.html
aktual24.ro/macron-anunta-o-noua-revolutie-in-europa-mesaj-in-limba-romana-populistii-lui-liviu-dragnea-vor-reactiona-furibund,bzi.ro/iata-scrisoarea-lui-emmanuel-macron-despre-viitorul-europei-685398
evenimentvalcean.ro/foto-adolescente-din-ramnicu-valcea-date-disparute-daca-le-ati-vazut-sunati-la-112,gazetavalceana.ro/2019/03/04/update-up-foto-adolescente-din-ramnicu-valcea-date-disparute-le-ati-vazut
stiri-neamt.ro/meteo-cum-va-fi-vremea-pana-pe-17-martie-se-va-incalzi-considerabil,wowbiz.ro/prognoza-meteo-pentru-urmatoarele-doua-saptamani-renuntam-sau-nu-la-hainele-de-iarna-20009335
adevarul.ro/news/societate/8-martie-vine-temperaturi-vara-1_5c7ea883445219c57eeb5dd4/index.html,wowbiz.ro/prognoza-meteo-pentru-urmatoarele-doua-saptamani-renuntam-sau-nu-la-hainele-de-iarna-20009335
ph-online.ro/eveniment/item/103566-tichete-de-400-de-lei-pentru-copii-banii-pot-fi-folositi-de-parinti-sau-familii-strict-in-aceste-conditii,ziarulunirea.ro/tichete-de-400-de-lei-pentru-copii-banii-pot-fi-folositi-de-parinti-sau-familii-pentru-accesul-copiilor-la-programele-after-school-513733
adevarul.ro/international/europa/un-detinut-radicalizat-injunghie-doi-supraveghetori-intr-o-inchisoare-franta-1_5c7e697f445219c57ee96ce6/index.html,blacknews.ro/incident-grav-intr-un-penitenciar-din-franta-un-detinut-a-injunghiat-doi-gardieni-video
ziarulclujean.ro/procurorii-diicot-continua-protestul,ziaruldeiasi.ro/stiri/procurorii-diicot-vor-purta-banderole-albe-in-semn-de-protest-fata-de-oug-7--213191.html
stiridegalati.ro/protest-inedit-un-om-de-afaceri-a-construit-singurul-metru-de-autostrada-din-moldova,tirmagazin.ro/infrastructura/exasperat-a-construit-singur-primul-metru-din-autostrada-moldova
aws.hotnews.ro/stire/23011343,stirileprotv.ro/stiri/actualitate/mai-multi-romani-s-au-trezit-cu-credite-uriase-dupa-ce-au-aplicat-pentru-un-job.html
iasifun.ziaruldeiasi.ro/michelin-lanseaza-a-doua-editie-a-ghidului-verde-pentru-romania/178039,da.zf.ro/dupa-afaceri/michelin-lanseaza-ghidul-verde-pentru-romania-care-sunt-cele-10-locuri-pe-care-nu-trebuie-sa-le-ratezi-17884050
aws.hotnews.ro/stire/23010907,stirileprotv.ro/educatie/reactia-ministrului-educatiei-cu-privire-la-profesorul-care-a-corectat-gresit-o-lucrare.html
aws.hotnews.ro/stire/23009945,stirileprotv.ro/stiri/inspectorul-pro/pericolele-la-care-sunt-expusi-pacientii-in-clinicile-unde-isi-fac-analizele.html
aws.hotnews.ro/stire/23010747,sursata.ro/stiri-la-zi/intarzieri-pentru-drumul-expres-piteti-craiova
ziardearad.ro/un-nou-dosar-la-dna-privind-milionul-de-euro-primit-mita-de-vanessa-youness-o-apropiata-fostului-premier-emil-boc-unde-disparut-comisionul-dat-de-celebrii-denuntatori-florica-si-pescariu-pentru-atribuirea-unui-contract-it,ziardehunedoara.ro/un-nou-dosar-la-dna-privind-milionul-de-euro-primit-mita-de-vanessa-youness-o-apropiata-fostului-premier-emil-boc-unde-disparut-comisionul-dat-de-celebrii-denuntatori-florica-si-pescariu-pentru-atribuirea-unui-contract-it
ziaruldesalaj.ro/video-exclusiv-mariana-radu-este-doctorita-anti-spaga-din-baia-mare-rezidentiat-plecat-franta-din-cauza-sistemului-cu-plicuri-si-pentru-nu-se-plafona-s-intors-sa-profeseze-curat-fara-bani-de-la-pacienti,ziardehunedoara.ro/video-exclusiv-mariana-radu-este-doctorita-anti-spaga-din-baia-mare-rezidentiat-plecat-franta-din-cauza-sistemului-cu-plicuri-si-pentru-nu-se-plafona-s-intors-sa-profeseze-curat-fara-bani-de-la-pacienti
ziaruldesalaj.ro/tibi-useriu-se-confeseaza-de-pe-un-pat-de-spital-din-canada-am-ratat-din-ecuatie-doua-detalii-esentiale,ziardesuceava.ro/tibi-useriu-se-confeseaza-de-pe-un-pat-de-spital-din-canada-am-ratat-din-ecuatie-doua-detalii-esentiale
rasunetul.ro/deputat-cristina-iurisniti-politizarea-scolilor-va-continua-sub-guvernarea-psd-alde,atelieruldestiri.ro/politizarea-scolilor-va-continua-sub-guvernarea-psd-alde
revistablogurilor.ro/donald-tusk-face-apel-la-votanti-sa-respinga-partidele-antieuropene-la-alegerile-europarlamentare-nu-permiteti-partidelor-infiintate-de-forte-externe-ostile-europei-sa-decida-prioritatile-ue,blacknews.ro/alegeri-europarlamentare-2019-donald-tusk-face-apel-la-votanti-sa-respinga-partidele-antieuropene
revistablogurilor.ro/replica-incredibila-a-lui-sebastian-ghita-cand-a-aflat-ca-laura-codruta-kovesi-si-a-depasit-adversarii-pentru-unii-le-as-dori-din-inima-sa-ajunga-kovesi-la-parchetul-european,stiripesurse.ro/sebastian-ghi-a-dupa-ce-laura-codru-a-kovesi-i-a-facut-k-o-adversarii-scorul-ma-face-sa-cred-ca_1329537.html
albastiri.ro/trei-cazuri-suspecte-de-scarlatina-la-gradinita-cu-program-prelungit-nr-13-din-alba-iulia,ziarulunirea.ro/dsp-alba-trei-cazuri-suspecte-de-scarlatina-la-gradinita-cu-program-prelungit-nr-13-din-alba-iulia-513658
evenimentvalcean.ro/atentie-parinti-incepe-inscrierea-elevilor-in-invatamantul-primar-pentru-anul-scolar-2019-2020,a1.ro/news/social/inscriere-la-scoala-martie-2019-depunere-cerere-online-id847516.html
adevarul.ro/news/eveniment/tudorel-toader-pastrat-oug-7-prevederi-contestate-magistrati-1_5c7eabfa445219c57eeb7643/index.html,mediafax.ro/social/dna-doua-organisme-pentru-combaterea-coruptiei-din-consiliul-europei-sustin-ca-nu-au-fost-informate-asupra-adoptarii-oug-pe-legile-justitiei-17899773
csid.ro/beauty/look-de-vedeta/oscar-2019-rochiile-de-pe-covorul-rosu-galerie-foto-17888994,turnulsfatului.ro/2019/02/25/oscaruri-2019-rami-malek-olivia-coleman-si-green-book-marii-castigatori-ai-serii
csid.ro/beauty/look-de-vedeta/oscar-2019-rochiile-de-pe-covorul-rosu-galerie-foto-17888994,jurnalistii.ro/oscar-2019-cine-sunt-castigatorii-ravnitei-statuete
revistablogurilor.ro/alerta-la-londra-trei-bombe-de-mica-putere-depistate-in-aeroporturi-si-intr-o-gara,blacknews.ro/alerta-la-londra-trei-bombe-de-mica-putere-depistate-in-aeroporturi-si-intr-o-gara
jurnalistii.ro/termenul-pentru-depunerea-declaratiei-unice-de-venit-s-a-prelungit,ziarulunirea.ro/proiect-termen-pentru-depunere-amanat-pana-in-31-iulie-pentru-declaratia-unica-2019-cine-trebuie-sa-o-depuna-514190
mobile.hotnews.ro/stire/23021286,romaniatv.net/subiecte-romana-simulare-evaluare-nationala-2019-edu-ro-barem-romana-evaluare-2019_464680.html
aws.hotnews.ro/stire/23021746,ftp.monitorulcj.ro/politica-administratie/69644-corina-cretu-ii-cere-lamuriri-vioricai-dancila-privind-construirea-spitalelor-regionale
stiridebistrita.ro/un-nou-dosar-la-dna-privind-milionul-de-euro-primit-mita-de-vanessa-youness-o-apropiata-fostului-premier-emil-boc-unde-disparut-comisionul-dat-de-celebrii-denuntatori-florica-si-pescariu-pentru-atribuirea-unui-contract-it,stiridefocsani.ro/un-nou-dosar-la-dna-privind-milionul-de-euro-primit-mita-de-vanessa-youness-o-apropiata-fostului-premier-emil-boc-unde-disparut-comisionul-dat-de-celebrii-denuntatori-florica-si-pescariu-pentru-atribuirea-unui-contract-it
stiridefocsani.ro/un-nou-dosar-la-dna-privind-milionul-de-euro-primit-mita-de-vanessa-youness-o-apropiata-fostului-premier-emil-boc-unde-disparut-comisionul-dat-de-celebrii-denuntatori-florica-si-pescariu-pentru-atribuirea-unui-contract-it,ziardearad.ro/un-nou-dosar-la-dna-privind-milionul-de-euro-primit-mita-de-vanessa-youness-o-apropiata-fostului-premier-emil-boc-unde-disparut-comisionul-dat-de-celebrii-denuntatori-florica-si-pescariu-pentru-atribuirea-unui-contract-it
monitorulcj.ro/politica-administratie/69644-corina-cretu-ii-cere-lamuriri-vioricai-dancila-privind-construirea-spitalelor-regionale,actualdecluj.ro/corina-cretu-cere-din-nou-guvernului-clarificari-privind-construirea-celor-trei-spitale-regionale-graficul-general-ramane-inca-neclar-sub-presiunea-timpului
pandurul.ro/articol/cod-galben-de-inundatii_111713.html,ziarulclujean.ro/clujul-alaturi-de-alte-judete-sub-cod-galben-de-inundatii
pandurul.ro/articol/control-de-amploare-anuntat-de-ministerul-finantel_111718.html,glasul-hd.ro/atentie-comercianti-anaf-demareaza-noi-controale
pandurul.ro/articol/control-de-amploare-anuntat-de-ministerul-finantel_111718.html,dcnews.ro/inspectorii-antifrauda-controale-in-forta-din-15-martie_641635.html
bf.protv.ro/articol/ce-au-cumparat-romanii-de-black-friday-2018-de-la-emag-magazinul-a-suplimentat-promotiile.html,bf.sport.ro/articol/ce-produse-s-au-vandut-cel-mai-bine-de-black-friday-la-emag.html
m.hotnews.ro/stire/23022075,timponline.ro/avertizare-meteo-de-precipitatii-si-vant
opiniaonline.ro/2019/03/11/ministerul-finantelor-publice-publicat-o-noua-strategie-fiscal-bugetara,incont.stirileprotv.ro/credite-si-economii/guvernul-a-publicat-o-noua-strategie-fiscal-bugetara-cu-un-deficit-mai-mare-decat-cel-estimat-initial.html
monitorulcj.ro/politica-administratie/69644-corina-cretu-ii-cere-lamuriri-vioricai-dancila-privind-construirea-spitalelor-regionale,m.mediafax.ro/politic/comisarul-corina-cretu-scrisoare-catre-guvern-privind-spitalele-regionale-in-care-cere-clarificari-asupra-intarzierilor-17907341
ftp.monitorulcj.ro/actualitate/69622-reguli-noi-in-troleibuze-si-autobuzele-din-cluj-daca-e?ti-murdar-sau-mirosi-urat-risti-o-amenda,bzc.ro/se-schimb-regulamentul-pentru-mijloacele-de-transport-n-comun-pentru-ce-ri-ti-s-prime-ti-amend-64977
ph-online.ro/politica/item/103694-alerta-judecatorii-se-revolta-stopati-demersul-initiat-de-cristi-vasilica-danilet,timponline.ro/presedintele-si-vicepresedintele-tribunalului-bistrita-nasaud-au-semnat-o-scrisoare-adresata-csm
m.hotnews.ro/stire/23021303,digi24.ro/stiri/actualitate/educatie/protest-la-simulare-evaluarea-nationala-2019-elevii-sa-dea-foaia-goala-1095796
m.hotnews.ro/stire/23021303,jurnalul.antena3.ro/stiri/educatie/simulare-evaluare-nationala-2019-protest-al-elevilor-dam-foaia-goala-802851.html
stiridebistrita.ro/acuzata-penal-doua-dosare-laura-codruta-kovesi-se-apara-cu-vocea-elenei-udrea-si-argumentele-lui-sebastian-ghita,ziaruldesalaj.ro/acuzata-penal-doua-dosare-laura-codruta-kovesi-se-apara-cu-vocea-elenei-udrea-si-argumentele-lui-sebastian-ghita
ziardesuceava.ro/acuzata-penal-doua-dosare-laura-codruta-kovesi-se-apara-cu-vocea-elenei-udrea-si-argumentele-lui-sebastian-ghita,ziaruldesalaj.ro/acuzata-penal-doua-dosare-laura-codruta-kovesi-se-apara-cu-vocea-elenei-udrea-si-argumentele-lui-sebastian-ghita
ziardesuceava.ro/acuzata-penal-doua-dosare-laura-codruta-kovesi-se-apara-cu-vocea-elenei-udrea-si-argumentele-lui-sebastian-ghita,ziaruldecraiova.ro/acuzata-penal-doua-dosare-laura-codruta-kovesi-se-apara-cu-vocea-elenei-udrea-si-argumentele-lui-sebastian-ghita
